film_id,category_id,last_update
89,2,2022-02-15 04:07:09-06
90,13,2022-02-15 04:07:09-06
91,4,2022-02-15 04:07:09-06
92,11,2022-02-15 04:07:09-06
93,13,2022-02-15 04:07:09-06
94,8,2022-02-15 04:07:09-06
95,13,2022-02-15 04:07:09-06
96,13,2022-02-15 04:07:09-06
97,1,2022-02-15 04:07:09-06
98,7,2022-02-15 04:07:09-06
99,5,2022-02-15 04:07:09-06
100,9,2022-02-15 04:07:09-06
101,6,2022-02-15 04:07:09-06
102,15,2022-02-15 04:07:09-06
103,16,2022-02-15 04:07:09-06
104,9,2022-02-15 04:07:09-06
105,1,2022-02-15 04:07:09-06
106,10,2022-02-15 04:07:09-06
107,7,2022-02-15 04:07:09-06
108,13,2022-02-15 04:07:09-06
109,13,2022-02-15 04:07:09-06
110,3,2022-02-15 04:07:09-06
111,1,2022-02-15 04:07:09-06
112,9,2022-02-15 04:07:09-06
113,15,2022-02-15 04:07:09-06
114,14,2022-02-15 04:07:09-06
115,1,2022-02-15 04:07:09-06
116,4,2022-02-15 04:07:09-06
117,10,2022-02-15 04:07:09-06
118,2,2022-02-15 04:07:09-06
119,5,2022-02-15 04:07:09-06
120,15,2022-02-15 04:07:09-06
121,2,2022-02-15 04:07:09-06
122,11,2022-02-15 04:07:09-06
123,16,2022-02-15 04:07:09-06
124,3,2022-02-15 04:07:09-06
125,16,2022-02-15 04:07:09-06
126,1,2022-02-15 04:07:09-06
127,5,2022-02-15 04:07:09-06
128,9,2022-02-15 04:07:09-06
129,6,2022-02-15 04:07:09-06
130,1,2022-02-15 04:07:09-06
131,4,2022-02-15 04:07:09-06
132,14,2022-02-15 04:07:09-06
133,12,2022-02-15 04:07:09-06
134,2,2022-02-15 04:07:09-06
135,15,2022-02-15 04:07:09-06
136,13,2022-02-15 04:07:09-06
137,14,2022-02-15 04:07:09-06
138,14,2022-02-15 04:07:09-06
139,8,2022-02-15 04:07:09-06
140,14,2022-02-15 04:07:09-06
141,10,2022-02-15 04:07:09-06
142,6,2022-02-15 04:07:09-06
143,7,2022-02-15 04:07:09-06
144,13,2022-02-15 04:07:09-06
145,8,2022-02-15 04:07:09-06
146,7,2022-02-15 04:07:09-06
147,8,2022-02-15 04:07:09-06
148,9,2022-02-15 04:07:09-06
149,3,2022-02-15 04:07:09-06
150,6,2022-02-15 04:07:09-06
151,14,2022-02-15 04:07:09-06
152,3,2022-02-15 04:07:09-06
153,14,2022-02-15 04:07:09-06
154,2,2022-02-15 04:07:09-06
155,13,2022-02-15 04:07:09-06
156,6,2022-02-15 04:07:09-06
157,3,2022-02-15 04:07:09-06
158,12,2022-02-15 04:07:09-06
159,5,2022-02-15 04:07:09-06
160,2,2022-02-15 04:07:09-06
161,12,2022-02-15 04:07:09-06
162,1,2022-02-15 04:07:09-06
163,13,2022-02-15 04:07:09-06
164,6,2022-02-15 04:07:09-06
165,14,2022-02-15 04:07:09-06
166,4,2022-02-15 04:07:09-06
167,16,2022-02-15 04:07:09-06
168,3,2022-02-15 04:07:09-06
169,16,2022-02-15 04:07:09-06
170,9,2022-02-15 04:07:09-06
171,11,2022-02-15 04:07:09-06
172,7,2022-02-15 04:07:09-06
173,7,2022-02-15 04:07:09-06
174,12,2022-02-15 04:07:09-06
175,8,2022-02-15 04:07:09-06
176,15,2022-02-15 04:07:09-06
177,14,2022-02-15 04:07:09-06
178,5,2022-02-15 04:07:09-06
179,7,2022-02-15 04:07:09-06
180,4,2022-02-15 04:07:09-06
181,16,2022-02-15 04:07:09-06
182,5,2022-02-15 04:07:09-06
183,8,2022-02-15 04:07:09-06
184,4,2022-02-15 04:07:09-06
185,9,2022-02-15 04:07:09-06
186,7,2022-02-15 04:07:09-06
187,15,2022-02-15 04:07:09-06
188,5,2022-02-15 04:07:09-06
189,10,2022-02-15 04:07:09-06
190,4,2022-02-15 04:07:09-06
191,3,2022-02-15 04:07:09-06
192,9,2022-02-15 04:07:09-06
193,2,2022-02-15 04:07:09-06
194,1,2022-02-15 04:07:09-06
195,14,2022-02-15 04:07:09-06
196,4,2022-02-15 04:07:09-06
197,15,2022-02-15 04:07:09-06
198,9,2022-02-15 04:07:09-06
199,6,2022-02-15 04:07:09-06
200,10,2022-02-15 04:07:09-06
201,9,2022-02-15 04:07:09-06
202,5,2022-02-15 04:07:09-06
203,14,2022-02-15 04:07:09-06
204,7,2022-02-15 04:07:09-06
205,1,2022-02-15 04:07:09-06
206,6,2022-02-15 04:07:09-06
207,9,2022-02-15 04:07:09-06
208,2,2022-02-15 04:07:09-06
209,7,2022-02-15 04:07:09-06
210,1,2022-02-15 04:07:09-06
211,10,2022-02-15 04:07:09-06
212,1,2022-02-15 04:07:09-06
213,8,2022-02-15 04:07:09-06
214,3,2022-02-15 04:07:09-06
215,10,2022-02-15 04:07:09-06
216,13,2022-02-15 04:07:09-06
217,10,2022-02-15 04:07:09-06
218,7,2022-02-15 04:07:09-06
219,6,2022-02-15 04:07:09-06
220,12,2022-02-15 04:07:09-06
221,6,2022-02-15 04:07:09-06
222,11,2022-02-15 04:07:09-06
223,2,2022-02-15 04:07:09-06
224,16,2022-02-15 04:07:09-06
225,7,2022-02-15 04:07:09-06
226,13,2022-02-15 04:07:09-06
227,10,2022-02-15 04:07:09-06
228,4,2022-02-15 04:07:09-06
229,1,2022-02-15 04:07:09-06
230,7,2022-02-15 04:07:09-06
231,8,2022-02-15 04:07:09-06
232,10,2022-02-15 04:07:09-06
233,16,2022-02-15 04:07:09-06
234,14,2022-02-15 04:07:09-06
235,14,2022-02-15 04:07:09-06
236,10,2022-02-15 04:07:09-06
237,15,2022-02-15 04:07:09-06
238,3,2022-02-15 04:07:09-06
239,2,2022-02-15 04:07:09-06
240,14,2022-02-15 04:07:09-06
241,2,2022-02-15 04:07:09-06
242,5,2022-02-15 04:07:09-06
243,2,2022-02-15 04:07:09-06
244,12,2022-02-15 04:07:09-06
245,2,2022-02-15 04:07:09-06
246,9,2022-02-15 04:07:09-06
247,5,2022-02-15 04:07:09-06
248,6,2022-02-15 04:07:09-06
249,4,2022-02-15 04:07:09-06
250,1,2022-02-15 04:07:09-06
251,13,2022-02-15 04:07:09-06
252,1,2022-02-15 04:07:09-06
253,1,2022-02-15 04:07:09-06
254,15,2022-02-15 04:07:09-06
255,12,2022-02-15 04:07:09-06
256,15,2022-02-15 04:07:09-06
257,16,2022-02-15 04:07:09-06
258,11,2022-02-15 04:07:09-06
259,2,2022-02-15 04:07:09-06
260,15,2022-02-15 04:07:09-06
261,6,2022-02-15 04:07:09-06
262,8,2022-02-15 04:07:09-06
263,15,2022-02-15 04:07:09-06
264,10,2022-02-15 04:07:09-06
265,5,2022-02-15 04:07:09-06
266,4,2022-02-15 04:07:09-06
267,13,2022-02-15 04:07:09-06
268,2,2022-02-15 04:07:09-06
269,8,2022-02-15 04:07:09-06
270,13,2022-02-15 04:07:09-06
271,1,2022-02-15 04:07:09-06
272,7,2022-02-15 04:07:09-06
273,8,2022-02-15 04:07:09-06
274,6,2022-02-15 04:07:09-06
275,11,2022-02-15 04:07:09-06
276,5,2022-02-15 04:07:09-06
277,11,2022-02-15 04:07:09-06
278,12,2022-02-15 04:07:09-06
279,15,2022-02-15 04:07:09-06
280,3,2022-02-15 04:07:09-06
281,10,2022-02-15 04:07:09-06
282,7,2022-02-15 04:07:09-06
283,13,2022-02-15 04:07:09-06
284,12,2022-02-15 04:07:09-06
285,14,2022-02-15 04:07:09-06
286,16,2022-02-15 04:07:09-06
287,1,2022-02-15 04:07:09-06
288,16,2022-02-15 04:07:09-06
289,13,2022-02-15 04:07:09-06
290,9,2022-02-15 04:07:09-06
291,15,2022-02-15 04:07:09-06
292,1,2022-02-15 04:07:09-06
293,15,2022-02-15 04:07:09-06
294,16,2022-02-15 04:07:09-06
295,6,2022-02-15 04:07:09-06
296,14,2022-02-15 04:07:09-06
297,4,2022-02-15 04:07:09-06
298,14,2022-02-15 04:07:09-06
299,16,2022-02-15 04:07:09-06
300,2,2022-02-15 04:07:09-06
301,11,2022-02-15 04:07:09-06
302,10,2022-02-15 04:07:09-06
303,1,2022-02-15 04:07:09-06
304,3,2022-02-15 04:07:09-06
305,13,2022-02-15 04:07:09-06
306,10,2022-02-15 04:07:09-06
307,16,2022-02-15 04:07:09-06
308,5,2022-02-15 04:07:09-06
309,8,2022-02-15 04:07:09-06
310,10,2022-02-15 04:07:09-06
311,9,2022-02-15 04:07:09-06
312,14,2022-02-15 04:07:09-06
313,11,2022-02-15 04:07:09-06
314,2,2022-02-15 04:07:09-06
315,8,2022-02-15 04:07:09-06
316,10,2022-02-15 04:07:09-06
317,5,2022-02-15 04:07:09-06
318,1,2022-02-15 04:07:09-06
319,14,2022-02-15 04:07:09-06
320,13,2022-02-15 04:07:09-06
321,13,2022-02-15 04:07:09-06
322,15,2022-02-15 04:07:09-06
323,15,2022-02-15 04:07:09-06
324,5,2022-02-15 04:07:09-06
325,2,2022-02-15 04:07:09-06
326,2,2022-02-15 04:07:09-06
327,1,2022-02-15 04:07:09-06
328,3,2022-02-15 04:07:09-06
329,1,2022-02-15 04:07:09-06
330,2,2022-02-15 04:07:09-06
331,10,2022-02-15 04:07:09-06
332,5,2022-02-15 04:07:09-06
333,12,2022-02-15 04:07:09-06
334,11,2022-02-15 04:07:09-06
335,5,2022-02-15 04:07:09-06
336,6,2022-02-15 04:07:09-06
337,9,2022-02-15 04:07:09-06
338,14,2022-02-15 04:07:09-06
339,16,2022-02-15 04:07:09-06
340,13,2022-02-15 04:07:09-06
341,4,2022-02-15 04:07:09-06
342,16,2022-02-15 04:07:09-06
343,3,2022-02-15 04:07:09-06
344,3,2022-02-15 04:07:09-06
345,8,2022-02-15 04:07:09-06
346,4,2022-02-15 04:07:09-06
347,16,2022-02-15 04:07:09-06
348,8,2022-02-15 04:07:09-06
349,2,2022-02-15 04:07:09-06
350,14,2022-02-15 04:07:09-06
351,11,2022-02-15 04:07:09-06
352,10,2022-02-15 04:07:09-06
353,9,2022-02-15 04:07:09-06
354,3,2022-02-15 04:07:09-06
355,2,2022-02-15 04:07:09-06
356,3,2022-02-15 04:07:09-06
357,4,2022-02-15 04:07:09-06
358,4,2022-02-15 04:07:09-06
359,8,2022-02-15 04:07:09-06
360,1,2022-02-15 04:07:09-06
361,15,2022-02-15 04:07:09-06
362,10,2022-02-15 04:07:09-06
363,12,2022-02-15 04:07:09-06
364,13,2022-02-15 04:07:09-06
365,5,2022-02-15 04:07:09-06
366,7,2022-02-15 04:07:09-06
367,14,2022-02-15 04:07:09-06
368,7,2022-02-15 04:07:09-06
369,14,2022-02-15 04:07:09-06
370,3,2022-02-15 04:07:09-06
371,1,2022-02-15 04:07:09-06
372,15,2022-02-15 04:07:09-06
373,3,2022-02-15 04:07:09-06
374,14,2022-02-15 04:07:09-06
375,1,2022-02-15 04:07:09-06
376,9,2022-02-15 04:07:09-06
377,8,2022-02-15 04:07:09-06
378,12,2022-02-15 04:07:09-06
379,7,2022-02-15 04:07:09-06
380,9,2022-02-15 04:07:09-06
381,10,2022-02-15 04:07:09-06
382,10,2022-02-15 04:07:09-06
383,15,2022-02-15 04:07:09-06
384,12,2022-02-15 04:07:09-06
385,5,2022-02-15 04:07:09-06
386,16,2022-02-15 04:07:09-06
387,10,2022-02-15 04:07:09-06
388,5,2022-02-15 04:07:09-06
389,15,2022-02-15 04:07:09-06
390,14,2022-02-15 04:07:09-06
391,8,2022-02-15 04:07:09-06
392,3,2022-02-15 04:07:09-06
393,6,2022-02-15 04:07:09-06
394,14,2022-02-15 04:07:09-06
395,1,2022-02-15 04:07:09-06
396,7,2022-02-15 04:07:09-06
397,14,2022-02-15 04:07:09-06
398,12,2022-02-15 04:07:09-06
399,9,2022-02-15 04:07:09-06
400,6,2022-02-15 04:07:09-06
401,7,2022-02-15 04:07:09-06
402,2,2022-02-15 04:07:09-06
403,7,2022-02-15 04:07:09-06
404,5,2022-02-15 04:07:09-06
405,16,2022-02-15 04:07:09-06
406,10,2022-02-15 04:07:09-06
407,6,2022-02-15 04:07:09-06
408,10,2022-02-15 04:07:09-06
409,3,2022-02-15 04:07:09-06
410,5,2022-02-15 04:07:09-06
411,12,2022-02-15 04:07:09-06
412,6,2022-02-15 04:07:09-06
413,5,2022-02-15 04:07:09-06
414,9,2022-02-15 04:07:09-06
415,11,2022-02-15 04:07:09-06
416,9,2022-02-15 04:07:09-06
417,1,2022-02-15 04:07:09-06
418,7,2022-02-15 04:07:09-06
419,8,2022-02-15 04:07:09-06
420,15,2022-02-15 04:07:09-06
421,9,2022-02-15 04:07:09-06
422,14,2022-02-15 04:07:09-06
423,3,2022-02-15 04:07:09-06
424,3,2022-02-15 04:07:09-06
425,4,2022-02-15 04:07:09-06
426,12,2022-02-15 04:07:09-06
427,6,2022-02-15 04:07:09-06
428,8,2022-02-15 04:07:09-06
429,15,2022-02-15 04:07:09-06
430,2,2022-02-15 04:07:09-06
431,9,2022-02-15 04:07:09-06
432,4,2022-02-15 04:07:09-06
433,2,2022-02-15 04:07:09-06
434,16,2022-02-15 04:07:09-06
435,9,2022-02-15 04:07:09-06
436,13,2022-02-15 04:07:09-06
437,8,2022-02-15 04:07:09-06
438,10,2022-02-15 04:07:09-06
439,7,2022-02-15 04:07:09-06
440,9,2022-02-15 04:07:09-06
441,6,2022-02-15 04:07:09-06
442,8,2022-02-15 04:07:09-06
443,5,2022-02-15 04:07:09-06
444,5,2022-02-15 04:07:09-06
445,4,2022-02-15 04:07:09-06
446,15,2022-02-15 04:07:09-06
447,10,2022-02-15 04:07:09-06
448,13,2022-02-15 04:07:09-06
449,14,2022-02-15 04:07:09-06
450,3,2022-02-15 04:07:09-06
451,16,2022-02-15 04:07:09-06
452,9,2022-02-15 04:07:09-06
453,15,2022-02-15 04:07:09-06
454,12,2022-02-15 04:07:09-06
455,9,2022-02-15 04:07:09-06
456,2,2022-02-15 04:07:09-06
457,6,2022-02-15 04:07:09-06
458,8,2022-02-15 04:07:09-06
459,9,2022-02-15 04:07:09-06
460,9,2022-02-15 04:07:09-06
461,2,2022-02-15 04:07:09-06
462,12,2022-02-15 04:07:09-06
463,15,2022-02-15 04:07:09-06
464,2,2022-02-15 04:07:09-06
465,13,2022-02-15 04:07:09-06
466,6,2022-02-15 04:07:09-06
467,9,2022-02-15 04:07:09-06
468,3,2022-02-15 04:07:09-06
469,4,2022-02-15 04:07:09-06
470,2,2022-02-15 04:07:09-06
471,4,2022-02-15 04:07:09-06
472,16,2022-02-15 04:07:09-06
473,7,2022-02-15 04:07:09-06
474,15,2022-02-15 04:07:09-06
475,11,2022-02-15 04:07:09-06
476,8,2022-02-15 04:07:09-06
477,12,2022-02-15 04:07:09-06
478,5,2022-02-15 04:07:09-06
479,8,2022-02-15 04:07:09-06
480,4,2022-02-15 04:07:09-06
481,13,2022-02-15 04:07:09-06
482,4,2022-02-15 04:07:09-06
483,10,2022-02-15 04:07:09-06
484,4,2022-02-15 04:07:09-06
485,3,2022-02-15 04:07:09-06
486,9,2022-02-15 04:07:09-06
487,4,2022-02-15 04:07:09-06
488,15,2022-02-15 04:07:09-06
489,2,2022-02-15 04:07:09-06
490,13,2022-02-15 04:07:09-06
491,3,2022-02-15 04:07:09-06
492,13,2022-02-15 04:07:09-06
493,9,2022-02-15 04:07:09-06
494,11,2022-02-15 04:07:09-06
495,11,2022-02-15 04:07:09-06
496,16,2022-02-15 04:07:09-06
497,6,2022-02-15 04:07:09-06
498,8,2022-02-15 04:07:09-06
499,8,2022-02-15 04:07:09-06
500,9,2022-02-15 04:07:09-06
501,1,2022-02-15 04:07:09-06
502,5,2022-02-15 04:07:09-06
503,15,2022-02-15 04:07:09-06
504,7,2022-02-15 04:07:09-06
505,3,2022-02-15 04:07:09-06
506,11,2022-02-15 04:07:09-06
507,10,2022-02-15 04:07:09-06
508,10,2022-02-15 04:07:09-06
509,3,2022-02-15 04:07:09-06
510,2,2022-02-15 04:07:09-06
511,1,2022-02-15 04:07:09-06
512,4,2022-02-15 04:07:09-06
513,16,2022-02-15 04:07:09-06
514,7,2022-02-15 04:07:09-06
515,3,2022-02-15 04:07:09-06
516,12,2022-02-15 04:07:09-06
517,15,2022-02-15 04:07:09-06
518,16,2022-02-15 04:07:09-06
519,15,2022-02-15 04:07:09-06
520,14,2022-02-15 04:07:09-06
521,7,2022-02-15 04:07:09-06
522,5,2022-02-15 04:07:09-06
523,4,2022-02-15 04:07:09-06
524,5,2022-02-15 04:07:09-06
525,4,2022-02-15 04:07:09-06
526,16,2022-02-15 04:07:09-06
527,11,2022-02-15 04:07:09-06
528,8,2022-02-15 04:07:09-06
529,5,2022-02-15 04:07:09-06
530,1,2022-02-15 04:07:09-06
531,9,2022-02-15 04:07:09-06
532,15,2022-02-15 04:07:09-06
533,9,2022-02-15 04:07:09-06
534,8,2022-02-15 04:07:09-06
535,11,2022-02-15 04:07:09-06
536,4,2022-02-15 04:07:09-06
537,4,2022-02-15 04:07:09-06
538,13,2022-02-15 04:07:09-06
539,7,2022-02-15 04:07:09-06
540,12,2022-02-15 04:07:09-06
541,2,2022-02-15 04:07:09-06
542,1,2022-02-15 04:07:09-06
543,16,2022-02-15 04:07:09-06
544,6,2022-02-15 04:07:09-06
545,9,2022-02-15 04:07:09-06
546,10,2022-02-15 04:07:09-06
547,3,2022-02-15 04:07:09-06
548,4,2022-02-15 04:07:09-06
549,1,2022-02-15 04:07:09-06
550,8,2022-02-15 04:07:09-06
551,13,2022-02-15 04:07:09-06
552,6,2022-02-15 04:07:09-06
553,3,2022-02-15 04:07:09-06
554,4,2022-02-15 04:07:09-06
555,5,2022-02-15 04:07:09-06
556,10,2022-02-15 04:07:09-06
557,8,2022-02-15 04:07:09-06
558,13,2022-02-15 04:07:09-06
559,14,2022-02-15 04:07:09-06
560,10,2022-02-15 04:07:09-06
561,13,2022-02-15 04:07:09-06
562,12,2022-02-15 04:07:09-06
563,10,2022-02-15 04:07:09-06
564,2,2022-02-15 04:07:09-06
565,9,2022-02-15 04:07:09-06
566,9,2022-02-15 04:07:09-06
567,9,2022-02-15 04:07:09-06
568,5,2022-02-15 04:07:09-06
569,2,2022-02-15 04:07:09-06
570,15,2022-02-15 04:07:09-06
571,6,2022-02-15 04:07:09-06
572,14,2022-02-15 04:07:09-06
573,3,2022-02-15 04:07:09-06
574,1,2022-02-15 04:07:09-06
575,6,2022-02-15 04:07:09-06
576,6,2022-02-15 04:07:09-06
577,15,2022-02-15 04:07:09-06
578,4,2022-02-15 04:07:09-06
579,1,2022-02-15 04:07:09-06
580,13,2022-02-15 04:07:09-06
581,12,2022-02-15 04:07:09-06
582,2,2022-02-15 04:07:09-06
583,2,2022-02-15 04:07:09-06
584,9,2022-02-15 04:07:09-06
585,7,2022-02-15 04:07:09-06
586,1,2022-02-15 04:07:09-06
587,6,2022-02-15 04:07:09-06
588,3,2022-02-15 04:07:09-06
589,6,2022-02-15 04:07:09-06
590,13,2022-02-15 04:07:09-06
591,10,2022-02-15 04:07:09-06
592,12,2022-02-15 04:07:09-06
593,11,2022-02-15 04:07:09-06
594,1,2022-02-15 04:07:09-06
595,9,2022-02-15 04:07:09-06
596,10,2022-02-15 04:07:09-06
597,10,2022-02-15 04:07:09-06
598,15,2022-02-15 04:07:09-06
599,15,2022-02-15 04:07:09-06
600,11,2022-02-15 04:07:09-06
601,16,2022-02-15 04:07:09-06
602,14,2022-02-15 04:07:09-06
603,8,2022-02-15 04:07:09-06
604,5,2022-02-15 04:07:09-06
605,9,2022-02-15 04:07:09-06
606,15,2022-02-15 04:07:09-06
607,9,2022-02-15 04:07:09-06
608,3,2022-02-15 04:07:09-06
609,16,2022-02-15 04:07:09-06
610,8,2022-02-15 04:07:09-06
611,4,2022-02-15 04:07:09-06
612,15,2022-02-15 04:07:09-06
613,5,2022-02-15 04:07:09-06
614,10,2022-02-15 04:07:09-06
615,2,2022-02-15 04:07:09-06
616,6,2022-02-15 04:07:09-06
617,8,2022-02-15 04:07:09-06
618,7,2022-02-15 04:07:09-06
619,15,2022-02-15 04:07:09-06
620,14,2022-02-15 04:07:09-06
621,8,2022-02-15 04:07:09-06
622,6,2022-02-15 04:07:09-06
623,9,2022-02-15 04:07:09-06
624,10,2022-02-15 04:07:09-06
625,14,2022-02-15 04:07:09-06
626,3,2022-02-15 04:07:09-06
627,6,2022-02-15 04:07:09-06
628,15,2022-02-15 04:07:09-06
629,6,2022-02-15 04:07:09-06
630,7,2022-02-15 04:07:09-06
631,15,2022-02-15 04:07:09-06
632,13,2022-02-15 04:07:09-06
633,4,2022-02-15 04:07:09-06
634,8,2022-02-15 04:07:09-06
635,13,2022-02-15 04:07:09-06
636,12,2022-02-15 04:07:09-06
637,14,2022-02-15 04:07:09-06
638,5,2022-02-15 04:07:09-06
639,8,2022-02-15 04:07:09-06
640,9,2022-02-15 04:07:09-06
641,9,2022-02-15 04:07:09-06
642,16,2022-02-15 04:07:09-06
643,7,2022-02-15 04:07:09-06
644,2,2022-02-15 04:07:09-06
645,16,2022-02-15 04:07:09-06
646,10,2022-02-15 04:07:09-06
647,12,2022-02-15 04:07:09-06
648,16,2022-02-15 04:07:09-06
649,2,2022-02-15 04:07:09-06
650,6,2022-02-15 04:07:09-06
651,2,2022-02-15 04:07:09-06
652,4,2022-02-15 04:07:09-06
653,11,2022-02-15 04:07:09-06
654,10,2022-02-15 04:07:09-06
655,14,2022-02-15 04:07:09-06
656,16,2022-02-15 04:07:09-06
657,5,2022-02-15 04:07:09-06
658,11,2022-02-15 04:07:09-06
659,1,2022-02-15 04:07:09-06
660,5,2022-02-15 04:07:09-06
661,9,2022-02-15 04:07:09-06
662,7,2022-02-15 04:07:09-06
663,4,2022-02-15 04:07:09-06
664,1,2022-02-15 04:07:09-06
665,11,2022-02-15 04:07:09-06
666,7,2022-02-15 04:07:09-06
667,15,2022-02-15 04:07:09-06
668,15,2022-02-15 04:07:09-06
669,9,2022-02-15 04:07:09-06
670,6,2022-02-15 04:07:09-06
671,15,2022-02-15 04:07:09-06
672,5,2022-02-15 04:07:09-06
673,12,2022-02-15 04:07:09-06
674,9,2022-02-15 04:07:09-06
675,13,2022-02-15 04:07:09-06
676,15,2022-02-15 04:07:09-06
677,13,2022-02-15 04:07:09-06
678,15,2022-02-15 04:07:09-06
679,8,2022-02-15 04:07:09-06
680,5,2022-02-15 04:07:09-06
681,15,2022-02-15 04:07:09-06
682,8,2022-02-15 04:07:09-06
683,7,2022-02-15 04:07:09-06
684,10,2022-02-15 04:07:09-06
685,13,2022-02-15 04:07:09-06
686,13,2022-02-15 04:07:09-06
687,6,2022-02-15 04:07:09-06
688,3,2022-02-15 04:07:09-06
689,9,2022-02-15 04:07:09-06
690,2,2022-02-15 04:07:09-06
691,15,2022-02-15 04:07:09-06
692,2,2022-02-15 04:07:09-06
693,2,2022-02-15 04:07:09-06
694,4,2022-02-15 04:07:09-06
695,8,2022-02-15 04:07:09-06
696,2,2022-02-15 04:07:09-06
697,1,2022-02-15 04:07:09-06
698,6,2022-02-15 04:07:09-06
699,10,2022-02-15 04:07:09-06
700,8,2022-02-15 04:07:09-06
701,10,2022-02-15 04:07:09-06
702,11,2022-02-15 04:07:09-06
703,2,2022-02-15 04:07:09-06
704,5,2022-02-15 04:07:09-06
705,9,2022-02-15 04:07:09-06
706,7,2022-02-15 04:07:09-06
707,1,2022-02-15 04:07:09-06
708,6,2022-02-15 04:07:09-06
709,7,2022-02-15 04:07:09-06
710,8,2022-02-15 04:07:09-06
711,14,2022-02-15 04:07:09-06
712,6,2022-02-15 04:07:09-06
713,6,2022-02-15 04:07:09-06
714,14,2022-02-15 04:07:09-06
715,8,2022-02-15 04:07:09-06
716,11,2022-02-15 04:07:09-06
717,1,2022-02-15 04:07:09-06
718,12,2022-02-15 04:07:09-06
719,15,2022-02-15 04:07:09-06
720,13,2022-02-15 04:07:09-06
721,12,2022-02-15 04:07:09-06
722,11,2022-02-15 04:07:09-06
723,14,2022-02-15 04:07:09-06
724,8,2022-02-15 04:07:09-06
725,4,2022-02-15 04:07:09-06
726,9,2022-02-15 04:07:09-06
727,8,2022-02-15 04:07:09-06
728,7,2022-02-15 04:07:09-06
729,15,2022-02-15 04:07:09-06
730,13,2022-02-15 04:07:09-06
731,4,2022-02-15 04:07:09-06
732,1,2022-02-15 04:07:09-06
733,15,2022-02-15 04:07:09-06
734,6,2022-02-15 04:07:09-06
735,3,2022-02-15 04:07:09-06
