rental_id,rental_date,inventory_id,customer_id,return_date,staff_id,last_update
28,2022-05-24 20:42:37-06,4068,232,2022-05-26 02:26:37-06,2,2022-02-15 20:30:53-06
29,2022-05-24 20:47:12-06,611,44,2022-05-29 17:31:12-06,2,2022-02-15 20:30:53-06
30,2022-05-24 21:01:32-06,3744,430,2022-05-29 20:12:32-06,1,2022-02-15 20:30:53-06
31,2022-05-24 21:05:17-06,4482,369,2022-05-30 00:15:17-06,1,2022-02-15 20:30:53-06
32,2022-05-24 21:06:21-06,3832,230,2022-05-25 16:55:21-06,1,2022-02-15 20:30:53-06
33,2022-05-24 21:18:51-06,1681,272,2022-05-26 20:58:51-06,1,2022-02-15 20:30:53-06
34,2022-05-24 21:19:28-06,2613,597,2022-05-28 17:10:28-06,2,2022-02-15 20:30:53-06
35,2022-05-24 21:24:36-06,1286,484,2022-05-27 00:02:36-06,2,2022-02-15 20:30:53-06
36,2022-05-24 21:36:26-06,1308,88,2022-05-28 17:31:26-06,1,2022-02-15 20:30:53-06
37,2022-05-24 21:44:31-06,403,535,2022-05-28 18:03:31-06,1,2022-02-15 20:30:53-06
38,2022-05-24 21:47:44-06,2540,302,2022-05-31 17:58:44-06,1,2022-02-15 20:30:53-06
39,2022-05-24 21:51:46-06,4466,207,2022-05-30 20:14:46-06,2,2022-02-15 20:30:53-06
40,2022-05-24 22:09:04-06,2638,413,2022-05-27 16:12:04-06,1,2022-02-15 20:30:53-06
41,2022-05-24 22:12:29-06,1761,174,2022-06-01 17:28:29-06,1,2022-02-15 20:30:53-06
42,2022-05-24 22:24:58-06,380,523,2022-05-30 19:47:58-06,2,2022-02-15 20:30:53-06
43,2022-05-24 22:39:25-06,2578,532,2022-05-25 23:54:25-06,2,2022-02-15 20:30:53-06
44,2022-05-24 22:53:23-06,3098,207,2022-05-29 03:56:23-06,2,2022-02-15 20:30:53-06
45,2022-05-24 22:59:39-06,1853,436,2022-06-02 02:56:39-06,2,2022-02-15 20:30:53-06
46,2022-05-24 23:04:08-06,3318,7,2022-06-02 01:18:08-06,2,2022-02-15 20:30:53-06
47,2022-05-24 23:05:20-06,2211,35,2022-05-29 20:04:20-06,1,2022-02-15 20:30:53-06
48,2022-05-24 23:20:46-06,1780,282,2022-06-01 22:42:46-06,1,2022-02-15 20:30:53-06
49,2022-05-24 23:39:35-06,2965,498,2022-05-30 03:12:35-06,2,2022-02-15 20:30:53-06
50,2022-05-24 23:44:53-06,1983,18,2022-05-28 04:28:53-06,2,2022-02-15 20:30:53-06
51,2022-05-24 23:49:10-06,1257,256,2022-05-25 23:42:10-06,1,2022-02-15 20:30:53-06
52,2022-05-24 23:51:29-06,4017,507,2022-05-30 18:27:29-06,2,2022-02-15 20:30:53-06
53,2022-05-25 00:19:16-06,1255,569,2022-05-26 22:19:16-06,2,2022-02-15 20:30:53-06
54,2022-05-25 00:23:25-06,2787,291,2022-05-31 22:05:25-06,2,2022-02-15 20:30:53-06
55,2022-05-25 01:26:13-06,1139,131,2022-05-30 03:57:13-06,1,2022-02-15 20:30:53-06
56,2022-05-25 01:28:11-06,1352,511,2022-05-26 07:21:11-06,1,2022-02-15 20:30:53-06
57,2022-05-25 01:43:32-06,3938,6,2022-05-28 23:42:32-06,2,2022-02-15 20:30:53-06
58,2022-05-25 01:53:14-06,3050,323,2022-05-28 07:40:14-06,1,2022-02-15 20:30:53-06
59,2022-05-25 01:56:42-06,2884,408,2022-06-01 02:52:42-06,1,2022-02-15 20:30:53-06
60,2022-05-25 01:58:25-06,330,470,2022-05-30 07:14:25-06,1,2022-02-15 20:30:53-06
61,2022-05-25 02:01:57-06,4210,250,2022-06-02 00:22:57-06,2,2022-02-15 20:30:53-06
62,2022-05-25 02:18:52-06,261,419,2022-05-30 03:55:52-06,1,2022-02-15 20:30:53-06
63,2022-05-25 02:19:16-06,4008,383,2022-05-26 21:24:16-06,1,2022-02-15 20:30:53-06
64,2022-05-25 02:21:29-06,79,368,2022-06-03 04:31:29-06,1,2022-02-15 20:30:53-06
65,2022-05-25 02:32:03-06,3552,346,2022-05-29 07:21:03-06,1,2022-02-15 20:30:53-06
66,2022-05-25 02:35:12-06,1162,86,2022-05-28 21:16:12-06,2,2022-02-15 20:30:53-06
67,2022-05-25 02:41:01-06,239,119,2022-05-27 06:46:01-06,2,2022-02-15 20:30:53-06
68,2022-05-25 02:47:31-06,4029,120,2022-05-31 03:20:31-06,2,2022-02-15 20:30:53-06
69,2022-05-25 03:10:14-06,3207,305,2022-05-27 07:02:14-06,2,2022-02-15 20:30:53-06
70,2022-05-25 03:15:23-06,2168,73,2022-05-26 22:56:23-06,2,2022-02-15 20:30:53-06
71,2022-05-25 03:26:39-06,2408,100,2022-05-27 21:59:39-06,1,2022-02-15 20:30:53-06
72,2022-05-25 03:52:13-06,2260,48,2022-05-27 22:52:13-06,2,2022-02-15 20:30:53-06
73,2022-05-25 04:00:07-06,517,391,2022-06-01 06:56:07-06,2,2022-02-15 20:30:53-06
74,2022-05-25 04:09:48-06,1744,265,2022-05-26 05:23:48-06,2,2022-02-15 20:30:53-06
75,2022-05-25 04:13:34-06,3393,510,2022-06-03 05:58:34-06,1,2022-02-15 20:30:53-06
76,2022-05-25 04:30:37-06,3021,1,2022-06-03 05:00:37-06,2,2022-02-15 20:30:53-06
77,2022-05-25 04:31:59-06,1303,451,2022-05-26 09:53:59-06,2,2022-02-15 20:30:53-06
78,2022-05-25 04:35:18-06,4067,135,2022-05-31 05:48:18-06,2,2022-02-15 20:30:53-06
79,2022-05-25 05:11:07-06,3299,245,2022-06-03 03:54:07-06,2,2022-02-15 20:30:53-06
80,2022-05-25 05:12:07-06,2478,314,2022-05-31 10:46:07-06,2,2022-02-15 20:30:53-06
81,2022-05-25 05:15:19-06,2610,286,2022-06-02 07:08:19-06,2,2022-02-15 20:30:53-06
82,2022-05-25 05:17:46-06,1388,427,2022-06-01 03:48:46-06,1,2022-02-15 20:30:53-06
83,2022-05-25 05:30:15-06,466,131,2022-05-27 08:40:15-06,1,2022-02-15 20:30:53-06
84,2022-05-25 05:36:30-06,1829,492,2022-05-29 11:33:30-06,1,2022-02-15 20:30:53-06
85,2022-05-25 06:05:34-06,470,414,2022-05-29 09:53:34-06,1,2022-02-15 20:30:53-06
86,2022-05-25 06:36:12-06,2275,266,2022-05-30 07:53:12-06,1,2022-02-15 20:30:53-06
87,2022-05-25 06:52:43-06,1586,331,2022-05-29 04:12:43-06,2,2022-02-15 20:30:53-06
88,2022-05-25 07:13:54-06,2221,53,2022-05-29 02:32:54-06,2,2022-02-15 20:30:53-06
89,2022-05-25 07:28:29-06,2181,499,2022-05-29 07:33:29-06,1,2022-02-15 20:30:53-06
90,2022-05-25 07:31:25-06,2984,25,2022-06-01 03:07:25-06,1,2022-02-15 20:30:53-06
91,2022-05-25 07:57:22-06,139,267,2022-06-01 11:32:22-06,1,2022-02-15 20:30:53-06
92,2022-05-25 08:38:46-06,775,302,2022-05-31 06:40:46-06,2,2022-02-15 20:30:53-06
93,2022-05-25 08:54:16-06,4360,288,2022-06-03 13:18:16-06,1,2022-02-15 20:30:53-06
94,2022-05-25 09:03:42-06,1675,197,2022-05-30 07:23:42-06,1,2022-02-15 20:30:53-06
95,2022-05-25 09:12:52-06,178,400,2022-06-02 11:55:52-06,2,2022-02-15 20:30:53-06
96,2022-05-25 09:32:19-06,3418,49,2022-05-30 03:47:19-06,2,2022-02-15 20:30:53-06
97,2022-05-25 09:34:24-06,1283,263,2022-05-28 05:13:24-06,2,2022-02-15 20:30:53-06
98,2022-05-25 09:48:24-06,2970,269,2022-05-27 04:29:24-06,2,2022-02-15 20:30:53-06
99,2022-05-25 09:50:20-06,535,44,2022-05-28 11:52:20-06,1,2022-02-15 20:30:53-06
100,2022-05-25 09:50:28-06,2599,208,2022-06-02 15:11:28-06,1,2022-02-15 20:30:53-06
101,2022-05-25 10:17:04-06,617,468,2022-05-31 12:47:04-06,1,2022-02-15 20:30:53-06
102,2022-05-25 10:22:10-06,373,343,2022-05-31 12:47:10-06,1,2022-02-15 20:30:53-06
103,2022-05-25 10:30:42-06,3343,384,2022-06-03 15:36:42-06,1,2022-02-15 20:30:53-06
104,2022-05-25 10:46:33-06,4281,310,2022-05-27 08:20:33-06,1,2022-02-15 20:30:53-06
105,2022-05-25 10:54:12-06,794,108,2022-05-30 05:03:12-06,2,2022-02-15 20:30:53-06
106,2022-05-25 11:18:19-06,3627,196,2022-06-03 17:01:19-06,2,2022-02-15 20:30:53-06
107,2022-05-25 11:28:09-06,2833,317,2022-06-03 15:46:09-06,2,2022-02-15 20:30:53-06
108,2022-05-25 11:30:05-06,3289,242,2022-05-30 12:40:05-06,1,2022-02-15 20:30:53-06
109,2022-05-25 11:40:20-06,1044,503,2022-05-29 13:39:20-06,2,2022-02-15 20:30:53-06
110,2022-05-25 11:43:49-06,4108,19,2022-06-03 11:13:49-06,2,2022-02-15 20:30:53-06
111,2022-05-25 11:45:19-06,3725,227,2022-05-28 10:18:19-06,1,2022-02-15 20:30:53-06
112,2022-05-25 11:57:24-06,2153,500,2022-06-02 13:44:24-06,1,2022-02-15 20:30:53-06
113,2022-05-25 12:07:40-06,2963,93,2022-05-27 15:16:40-06,2,2022-02-15 20:30:53-06
114,2022-05-25 12:12:42-06,4502,506,2022-06-01 16:10:42-06,1,2022-02-15 20:30:53-06
115,2022-05-25 12:13:25-06,749,455,2022-05-29 13:17:25-06,1,2022-02-15 20:30:53-06
116,2022-05-25 12:27:51-06,4453,18,2022-05-26 09:23:51-06,1,2022-02-15 20:30:53-06
117,2022-05-25 12:30:46-06,4278,7,2022-05-31 16:59:46-06,2,2022-02-15 20:30:53-06
118,2022-05-25 12:31:18-06,872,524,2022-05-31 08:00:18-06,1,2022-02-15 20:30:53-06
119,2022-05-25 12:37:02-06,1359,51,2022-05-29 16:51:02-06,2,2022-02-15 20:30:53-06
120,2022-05-25 12:37:47-06,37,365,2022-06-01 16:29:47-06,2,2022-02-15 20:30:53-06
121,2022-05-25 12:41:29-06,1053,405,2022-05-29 14:31:29-06,1,2022-02-15 20:30:53-06
122,2022-05-25 12:46:21-06,2908,273,2022-06-02 12:07:21-06,1,2022-02-15 20:30:53-06
123,2022-05-25 13:26:42-06,1795,43,2022-05-26 12:41:42-06,1,2022-02-15 20:30:53-06
124,2022-05-25 13:46:11-06,212,246,2022-05-29 17:47:11-06,2,2022-02-15 20:30:53-06
125,2022-05-25 13:48:50-06,952,368,2022-06-02 14:39:50-06,1,2022-02-15 20:30:53-06
126,2022-05-25 14:07:59-06,2047,439,2022-05-28 11:51:59-06,1,2022-02-15 20:30:53-06
127,2022-05-25 14:10:40-06,2026,94,2022-06-02 14:38:40-06,1,2022-02-15 20:30:53-06
128,2022-05-25 14:19:53-06,4322,40,2022-05-29 16:34:53-06,1,2022-02-15 20:30:53-06
129,2022-05-25 14:20:03-06,4154,23,2022-06-03 18:25:03-06,2,2022-02-15 20:30:53-06
130,2022-05-25 14:21:56-06,3990,56,2022-05-30 15:41:56-06,2,2022-02-15 20:30:53-06
131,2022-05-25 14:42:46-06,815,325,2022-05-30 16:25:46-06,2,2022-02-15 20:30:53-06
132,2022-05-25 14:46:54-06,3367,479,2022-05-31 14:02:54-06,1,2022-02-15 20:30:53-06
133,2022-05-25 14:48:30-06,399,237,2022-05-29 17:26:30-06,2,2022-02-15 20:30:53-06
134,2022-05-25 14:48:41-06,2272,222,2022-06-02 11:28:41-06,1,2022-02-15 20:30:53-06
135,2022-05-25 14:58:58-06,103,304,2022-06-03 10:50:58-06,1,2022-02-15 20:30:53-06
136,2022-05-25 15:02:30-06,2296,504,2022-05-31 11:06:30-06,1,2022-02-15 20:30:53-06
137,2022-05-25 15:25:18-06,2591,560,2022-05-31 19:30:18-06,2,2022-02-15 20:30:53-06
138,2022-05-25 15:48:22-06,4134,586,2022-05-29 13:21:22-06,2,2022-02-15 20:30:53-06
139,2022-05-25 16:00:21-06,327,257,2022-05-29 10:12:21-06,1,2022-02-15 20:30:53-06
140,2022-05-25 16:34:22-06,655,354,2022-05-26 18:10:22-06,1,2022-02-15 20:30:53-06
141,2022-05-25 16:34:53-06,811,89,2022-06-01 18:57:53-06,1,2022-02-15 20:30:53-06
142,2022-05-25 16:43:47-06,4407,472,2022-05-28 17:46:47-06,2,2022-02-15 20:30:53-06
143,2022-05-25 16:45:52-06,847,297,2022-05-27 14:41:52-06,2,2022-02-15 20:30:53-06
144,2022-05-25 16:49:56-06,1689,357,2022-06-01 14:41:56-06,2,2022-02-15 20:30:53-06
145,2022-05-25 16:59:03-06,3905,82,2022-05-30 19:56:03-06,1,2022-02-15 20:30:53-06
146,2022-05-25 17:07:11-06,1431,433,2022-06-03 17:20:11-06,2,2022-02-15 20:30:53-06
147,2022-05-25 17:17:50-06,633,274,2022-05-29 16:21:50-06,2,2022-02-15 20:30:53-06
148,2022-05-25 17:25:23-06,4252,142,2022-06-01 12:29:23-06,2,2022-02-15 20:30:53-06
149,2022-05-25 17:28:05-06,1084,319,2022-06-02 14:30:05-06,2,2022-02-15 20:30:53-06
150,2022-05-25 17:28:39-06,909,429,2022-05-31 19:10:39-06,2,2022-02-15 20:30:53-06
151,2022-05-25 17:37:28-06,2942,14,2022-05-29 23:28:28-06,1,2022-02-15 20:30:53-06
152,2022-05-25 17:41:10-06,2622,57,2022-06-02 23:05:10-06,1,2022-02-15 20:30:53-06
153,2022-05-25 17:47:47-06,3888,348,2022-05-27 14:28:47-06,1,2022-02-15 20:30:53-06
154,2022-05-25 17:55:56-06,1354,185,2022-05-29 16:18:56-06,2,2022-02-15 20:30:53-06
155,2022-05-25 18:15:05-06,288,551,2022-05-31 17:03:05-06,1,2022-02-15 20:30:53-06
156,2022-05-25 18:19:05-06,3193,462,2022-05-27 16:43:05-06,1,2022-02-15 20:30:53-06
157,2022-05-25 18:25:21-06,887,344,2022-05-26 14:17:21-06,2,2022-02-15 20:30:53-06
158,2022-05-25 18:27:11-06,2395,354,2022-06-02 17:30:11-06,2,2022-02-15 20:30:53-06
159,2022-05-25 18:34:28-06,3453,505,2022-05-28 21:00:28-06,1,2022-02-15 20:30:53-06
160,2022-05-25 18:46:20-06,1885,290,2022-05-31 22:45:20-06,1,2022-02-15 20:30:53-06
161,2022-05-25 18:51:48-06,2941,182,2022-05-26 22:42:48-06,1,2022-02-15 20:30:53-06
162,2022-05-25 19:02:05-06,1229,296,2022-05-26 20:38:05-06,2,2022-02-15 20:30:53-06
163,2022-05-25 19:26:23-06,2306,104,2022-06-03 23:36:23-06,1,2022-02-15 20:30:53-06
164,2022-05-25 19:26:49-06,1070,151,2022-05-27 17:32:49-06,1,2022-02-15 20:30:53-06
165,2022-05-25 19:28:36-06,2735,33,2022-06-01 20:21:36-06,1,2022-02-15 20:30:53-06
166,2022-05-25 19:49:11-06,3894,322,2022-05-30 18:28:11-06,1,2022-02-15 20:30:53-06
167,2022-05-25 19:50:31-06,865,401,2022-05-26 20:07:31-06,1,2022-02-15 20:30:53-06
168,2022-05-25 20:07:43-06,2714,469,2022-06-01 19:09:43-06,2,2022-02-15 20:30:53-06
169,2022-05-25 20:09:30-06,1758,381,2022-05-26 18:37:30-06,2,2022-02-15 20:30:53-06
170,2022-05-25 20:11:12-06,3688,107,2022-06-01 20:53:12-06,1,2022-02-15 20:30:53-06
171,2022-05-25 20:14:15-06,4483,400,2022-06-02 17:24:15-06,2,2022-02-15 20:30:53-06
172,2022-05-25 20:17:42-06,2873,176,2022-05-28 21:11:42-06,2,2022-02-15 20:30:53-06
173,2022-05-25 20:42:10-06,3596,533,2022-05-27 18:37:10-06,2,2022-02-15 20:30:53-06
174,2022-05-25 20:44:10-06,3954,552,2022-05-28 00:13:10-06,2,2022-02-15 20:30:53-06
175,2022-05-25 20:46:26-06,4346,47,2022-06-02 23:01:26-06,2,2022-02-15 20:30:53-06
176,2022-05-25 20:47:39-06,851,250,2022-05-31 19:36:39-06,2,2022-02-15 20:30:53-06
177,2022-05-25 21:14:29-06,3545,548,2022-06-01 01:16:29-06,2,2022-02-15 20:30:53-06
178,2022-05-25 21:21:46-06,1489,196,2022-06-04 00:09:46-06,2,2022-02-15 20:30:53-06
179,2022-05-25 21:26:06-06,2575,19,2022-06-03 03:06:06-06,1,2022-02-15 20:30:53-06
180,2022-05-25 21:46:23-06,2752,75,2022-06-01 02:58:23-06,1,2022-02-15 20:30:53-06
181,2022-05-25 21:47:06-06,2417,587,2022-05-28 23:34:06-06,2,2022-02-15 20:30:53-06
182,2022-05-25 21:49:17-06,4396,237,2022-05-31 22:43:17-06,2,2022-02-15 20:30:53-06
183,2022-05-25 22:01:18-06,2877,254,2022-06-01 02:04:18-06,1,2022-02-15 20:30:53-06
184,2022-05-25 22:29:49-06,1970,556,2022-05-28 03:10:49-06,1,2022-02-15 20:30:53-06
185,2022-05-25 22:30:03-06,2598,125,2022-06-02 02:48:03-06,2,2022-02-15 20:30:53-06
186,2022-05-25 22:32:52-06,1799,468,2022-06-03 00:19:52-06,2,2022-02-15 20:30:53-06
187,2022-05-25 22:42:37-06,4004,515,2022-06-03 17:38:37-06,1,2022-02-15 20:30:53-06
188,2022-05-25 22:47:12-06,3342,243,2022-05-26 16:48:12-06,1,2022-02-15 20:30:53-06
189,2022-05-25 23:01:41-06,984,247,2022-05-26 23:11:41-06,1,2022-02-15 20:30:53-06
190,2022-05-25 23:11:28-06,3962,533,2022-06-01 02:44:28-06,1,2022-02-15 20:30:53-06
191,2022-05-25 23:14:06-06,4365,412,2022-05-27 22:33:06-06,1,2022-02-15 20:30:53-06
192,2022-05-25 23:20:37-06,1897,437,2022-06-02 03:57:37-06,1,2022-02-15 20:30:53-06
193,2022-05-25 23:41:48-06,3900,270,2022-05-29 23:21:48-06,2,2022-02-15 20:30:53-06
194,2022-05-25 23:52:33-06,1337,29,2022-05-29 21:08:33-06,2,2022-02-15 20:30:53-06
195,2022-05-25 23:52:36-06,506,564,2022-05-30 19:47:36-06,2,2022-02-15 20:30:53-06
196,2022-05-25 23:55:58-06,190,184,2022-05-27 03:54:58-06,1,2022-02-15 20:30:53-06
197,2022-05-25 23:59:21-06,4212,546,2022-06-02 22:04:21-06,2,2022-02-15 20:30:53-06
198,2022-05-26 00:03:49-06,1789,54,2022-06-04 04:45:49-06,1,2022-02-15 20:30:53-06
199,2022-05-26 00:11:58-06,2135,71,2022-05-28 02:06:58-06,1,2022-02-15 20:30:53-06
200,2022-05-26 00:12:21-06,3926,321,2022-05-31 05:07:21-06,1,2022-02-15 20:30:53-06
201,2022-05-26 00:13:45-06,776,444,2022-06-03 19:02:45-06,2,2022-02-15 20:30:53-06
202,2022-05-26 00:27:36-06,674,20,2022-06-01 20:52:36-06,1,2022-02-15 20:30:53-06
203,2022-05-26 00:27:57-06,3374,109,2022-06-03 05:52:57-06,1,2022-02-15 20:30:53-06
204,2022-05-26 00:30:37-06,1842,528,2022-05-30 01:11:37-06,1,2022-02-15 20:30:53-06
205,2022-05-26 00:59:37-06,303,114,2022-05-29 02:43:37-06,2,2022-02-15 20:30:53-06
206,2022-05-26 01:01:54-06,1717,345,2022-05-26 23:26:54-06,1,2022-02-15 20:30:53-06
207,2022-05-26 01:04:38-06,102,47,2022-05-27 02:32:38-06,2,2022-02-15 20:30:53-06
208,2022-05-26 01:10:22-06,3669,274,2022-05-26 20:55:22-06,1,2022-02-15 20:30:53-06
209,2022-05-26 01:14:01-06,729,379,2022-05-27 02:00:01-06,1,2022-02-15 20:30:53-06
210,2022-05-26 01:14:15-06,1801,391,2022-05-27 05:12:15-06,2,2022-02-15 20:30:53-06
211,2022-05-26 01:33:10-06,4005,170,2022-05-28 07:09:10-06,1,2022-02-15 20:30:53-06
212,2022-05-26 01:34:41-06,764,59,2022-05-30 05:46:41-06,2,2022-02-15 20:30:53-06
213,2022-05-26 01:44:08-06,1505,394,2022-05-31 05:33:08-06,2,2022-02-15 20:30:53-06
214,2022-05-26 01:48:49-06,1453,98,2022-05-30 21:06:49-06,2,2022-02-15 20:30:53-06
215,2022-05-26 02:02:47-06,679,197,2022-05-28 02:45:47-06,2,2022-02-15 20:30:53-06
216,2022-05-26 02:17:43-06,1398,91,2022-06-03 01:21:43-06,1,2022-02-15 20:30:53-06
217,2022-05-26 02:24:26-06,4395,121,2022-05-30 20:24:26-06,2,2022-02-15 20:30:53-06
218,2022-05-26 02:27:09-06,2291,309,2022-06-04 04:53:09-06,2,2022-02-15 20:30:53-06
219,2022-05-26 02:41:45-06,3074,489,2022-05-27 21:40:45-06,1,2022-02-15 20:30:53-06
220,2022-05-26 03:06:49-06,1259,542,2022-06-01 00:43:49-06,1,2022-02-15 20:30:53-06
221,2022-05-26 03:14:09-06,3578,143,2022-05-28 22:57:09-06,1,2022-02-15 20:30:53-06
222,2022-05-26 03:14:38-06,2745,83,2022-05-31 01:36:38-06,2,2022-02-15 20:30:53-06
223,2022-05-26 03:15:23-06,3121,460,2022-05-30 04:43:23-06,1,2022-02-15 20:30:53-06
224,2022-05-26 03:18:27-06,4285,318,2022-06-03 23:59:27-06,1,2022-02-15 20:30:53-06
225,2022-05-26 03:27:50-06,651,467,2022-06-01 00:01:50-06,2,2022-02-15 20:30:53-06
226,2022-05-26 03:44:04-06,4181,221,2022-05-31 06:26:04-06,2,2022-02-15 20:30:53-06
227,2022-05-26 03:51:46-06,214,301,2022-05-30 00:24:46-06,1,2022-02-15 20:30:53-06
228,2022-05-26 03:54:28-06,511,571,2022-06-04 02:39:28-06,1,2022-02-15 20:30:53-06
229,2022-05-26 04:19:20-06,1131,312,2022-05-31 04:56:20-06,2,2022-02-15 20:30:53-06
230,2022-05-26 04:31:50-06,1085,58,2022-05-30 08:22:50-06,1,2022-02-15 20:30:53-06
231,2022-05-26 04:31:59-06,4032,365,2022-05-27 00:27:59-06,1,2022-02-15 20:30:53-06
232,2022-05-26 04:38:05-06,2945,256,2022-05-27 01:42:05-06,2,2022-02-15 20:30:53-06
233,2022-05-26 04:43:44-06,715,531,2022-05-28 10:28:44-06,2,2022-02-15 20:30:53-06
234,2022-05-26 04:47:20-06,1321,566,2022-06-03 03:39:20-06,2,2022-02-15 20:30:53-06
235,2022-05-26 04:51:09-06,3537,119,2022-06-04 02:36:09-06,1,2022-02-15 20:30:53-06
236,2022-05-26 04:53:49-06,1265,446,2022-05-28 06:55:49-06,1,2022-02-15 20:30:53-06
237,2022-05-26 05:15:13-06,241,536,2022-05-29 11:10:13-06,1,2022-02-15 20:30:53-06
238,2022-05-26 05:30:22-06,503,211,2022-05-26 23:49:22-06,1,2022-02-15 20:30:53-06
239,2022-05-26 05:30:26-06,131,49,2022-06-01 06:26:26-06,2,2022-02-15 20:30:53-06
240,2022-05-26 05:40:23-06,3420,103,2022-06-04 00:22:23-06,1,2022-02-15 20:30:53-06
241,2022-05-26 05:49:01-06,4438,245,2022-05-28 04:43:01-06,2,2022-02-15 20:30:53-06
242,2022-05-26 06:05:08-06,2095,214,2022-06-02 08:26:08-06,1,2022-02-15 20:30:53-06
243,2022-05-26 06:06:05-06,1721,543,2022-06-03 10:28:05-06,2,2022-02-15 20:30:53-06
244,2022-05-26 06:40:40-06,1041,257,2022-05-31 04:58:40-06,1,2022-02-15 20:30:53-06
245,2022-05-26 06:46:59-06,3045,158,2022-05-27 02:58:59-06,2,2022-02-15 20:30:53-06
246,2022-05-26 06:57:07-06,2829,240,2022-05-29 03:12:07-06,2,2022-02-15 20:30:53-06
247,2022-05-26 07:01:05-06,4095,102,2022-05-28 06:38:05-06,2,2022-02-15 20:30:53-06
248,2022-05-26 07:07:58-06,1913,545,2022-05-31 07:03:58-06,2,2022-02-15 20:30:53-06
249,2022-05-26 07:19:09-06,2428,472,2022-05-28 10:47:09-06,2,2022-02-15 20:30:53-06
250,2022-05-26 07:30:24-06,368,539,2022-05-27 01:50:24-06,1,2022-02-15 20:30:53-06
251,2022-05-26 07:35:40-06,4352,204,2022-05-29 10:17:40-06,1,2022-02-15 20:30:53-06
252,2022-05-26 07:39:53-06,1203,187,2022-06-02 07:48:53-06,1,2022-02-15 20:30:53-06
253,2022-05-26 07:43:14-06,2969,416,2022-05-27 05:21:14-06,1,2022-02-15 20:30:53-06
254,2022-05-26 07:43:48-06,1835,390,2022-05-31 02:19:48-06,2,2022-02-15 20:30:53-06
255,2022-05-26 07:52:15-06,3264,114,2022-05-27 05:45:15-06,1,2022-02-15 20:30:53-06
256,2022-05-26 08:20:58-06,3194,436,2022-05-31 08:58:58-06,1,2022-02-15 20:30:53-06
257,2022-05-26 08:27:05-06,2570,373,2022-05-29 09:25:05-06,2,2022-02-15 20:30:53-06
258,2022-05-26 08:28:14-06,3534,502,2022-05-30 11:38:14-06,2,2022-02-15 20:30:53-06
259,2022-05-26 08:32:46-06,30,482,2022-06-04 08:27:46-06,2,2022-02-15 20:30:53-06
260,2022-05-26 08:42:20-06,435,21,2022-05-31 06:21:20-06,2,2022-02-15 20:30:53-06
